food_item,energy_kcal,carbs,protein_g,fat_g,free_sugar_g,fibre_g,cholesterol_mg,calcium_mg,nutrition_density,health_risk_score,is_spice_condiment
Espreso coffee,51.54,6.62,1.75,2.14,6.53,0.0,0.0,58.1,12.424370850723033,18.224065690216946,False
Iced tea,10.34,2.7,0.03,0.01,2.7,0.0,0.0,1.18,8.982466508944688,13.787860954488734,False
Raw mango drink (Aam panna),35.92,9.05,0.16,0.03,7.49,0.61,0.0,7.08,9.810803241196428,18.347907168551124,False
Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,9.25,0.06,0.0,5.07,8.627184602796968,20.233691121697476,False
Fruit Punch (with squashes),23.13,5.99,0.07,0.02,5.88,0.17,0.0,3.3,9.032535241301645,16.85757400502268,False
Lemonade,20.8,5.48,0.03,0.01,5.47,0.02,0.0,1.84,8.733973529397463,16.522356601476467,False
Lem-o-gin,21.52,5.55,0.08,0.03,5.38,0.13,0.0,2.2,9.001207002819509,16.38807137515723,False
Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,1.46,0.46,0.0,10.84,10.341051903036481,12.381478815912132,False
Coco pine cooler,32.75,5.72,0.56,1.0,5.52,0.26,3.4,17.81,10.250792886115121,17.053616561002393,False
Summer cooler,22.43,5.43,0.37,0.04,5.21,0.2,0.0,8.13,9.688173075982256,16.106128817010074,False
Hot cocoa,90.1,9.23,3.36,4.56,9.01,0.0,0.0,113.66,15.821502513457038,21.52145516286175,False
Cold coffee with ice cream,67.85,11.24,1.57,2.11,11.18,0.01,1.17,53.29,11.557307480705763,22.933241592677497,False
Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,7.96,0.26,0.0,62.64,12.940426171153492,19.739959602475196,False
Mango milkshake (Aam milkshake),56.9,7.23,1.73,2.35,7.15,0.26,0.0,62.33,12.879031093879613,18.854570063873865,False
Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,7.6,0.0,0.0,59.92,12.241132138009295,19.354384875166325,False
Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,7.08,0.0,0.0,67.42,12.770693845198828,18.940691575013485,False
Egg nog,97.14,8.15,4.78,5.11,8.06,0.02,60.3,102.13,17.29298291307715,24.188851374178796,False
Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,6.51,0.0,2.49,45.65,11.491514733951751,17.688234362945543,False
Lassi (salted),18.84,1.86,1.35,0.72,1.84,0.02,2.6,47.78,12.171173014711496,13.065698907720083,False
Cheese and chilli sandwich ,218.11,27.4,6.8,9.78,2.38,2.08,23.05,113.79,24.238189287019253,19.182724029260445,False
Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.8,1.86,1.88,121.63,110.13,25.886205542692807,27.792464520632254,False
Cucumber sandwich (Kheere ka sandwich),188.6,25.77,4.8,8.0,1.64,2.45,17.53,87.84,21.61824589480305,17.509490179930793,False
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,29.1,8.2,12.8,4.1,2.33,34.35,199.73,28.694610296518615,22.683215893702325,False
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27,2.85,1.97,32.88,191.2,27.638327340033175,21.24867240793243,False
Chicken sandwich,253.27,25.38,13.12,11.75,1.6,1.64,42.06,89.56,31.068049515341023,18.814950135491152,False
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,2.82,4.03,17.53,94.03,30.277541139191946,20.983196430462424,False
Rainbow sandwich,272.75,34.26,7.75,12.54,4.05,2.1,31.16,172.04,26.92437383915578,22.984056286220024,False
Club sandwich ,235.32,18.51,7.31,15.12,2.01,1.81,31.26,115.68,24.415644081884174,21.511082321740723,False
Vegetarian club sandwich,198.33,19.68,5.45,11.33,2.08,2.06,23.13,122.44,22.699451878760016,19.55577085493583,False
Pin wheel sandwich,311.52,14.0,8.77,24.93,1.45,0.93,179.52,67.75,22.861579514967517,35.18849699862655,False
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,29.04,5.3,9.12,5.3,3.66,21.05,118.05,24.724287464333827,21.189020803062185,False
Salami sandwich,255.59,21.54,8.7,15.51,2.0,1.97,33.35,73.54,25.252022680148045,21.58255426924938,False
Vegetable and mayonnaise sandwich,244.26,23.2,4.47,15.4,2.35,2.35,21.87,79.53,20.507338616670054,22.395730494664697,False
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,25.9,7.66,10.51,2.09,1.77,95.63,95.71,24.128890295836758,23.599378637584323,False
Sweet open sandwich,244.25,39.24,4.99,8.15,12.23,2.36,18.05,85.18,20.475326611104585,28.407125239024918,False
Mushroom and cheese sandwich (toasted),227.42,21.01,7.79,13.01,2.11,2.28,35.12,172.35,27.501166730502582,20.510336623494705,False
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,21.42,6.82,12.95,2.67,1.78,35.12,169.22,25.250523729563408,21.575658461272475,False
Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.9,25.17,4.6,5.43,1.33,2.89,0.0,64.15,21.545076134147052,14.578590960175314,False
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.56,24.05,12.4,11.98,6.4,2.12,0.0,274.1,35.90784961509797,20.582343757077773,False
Chicken sandwich (toasted),167.37,18.82,12.08,5.32,2.13,1.64,26.57,99.99,30.17905900639327,14.611472054579261,False
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,20.26,11.06,5.61,1.94,2.45,27.29,70.79,29.34114473009496,14.681624606086531,False
Classic club sandwich,200.83,18.49,6.74,11.56,1.86,1.62,62.87,107.73,23.136640750634427,21.67560878102949,False
Sesame toast,495.19,11.15,1.9,49.38,1.46,1.32,0.0,43.44,13.699655950039311,39.07270504832317,False
Cracked wheat porridge (Meetha daliya),81.57,8.87,2.64,4.08,5.12,0.62,0.0,75.88,15.23065131137276,17.615298701235908,False
Semolina porridge (Suji/Rava daliya),100.89,12.39,3.75,4.08,7.54,0.7,0.0,108.52,17.502336298093063,19.755881119376838,False
Oatmeal Porridge,72.85,8.77,2.6,3.22,5.2,0.39,0.02,76.83,14.83850784742448,17.33066500184172,False
Cornflakes with milk,117.33,14.95,3.59,5.12,9.97,0.78,0.0,106.47,17.076033868121037,22.707283316218987,False
Rice flakes (Chiwda/Aval),112.44,15.57,3.62,3.99,7.28,0.37,0.0,103.15,16.649054536748327,19.96776726758054,False
Wheat flakes,112.44,15.57,3.62,3.99,7.28,0.37,0.0,103.15,16.649054536748327,19.96776726758054,False
Murmura (Puffed rice),113.32,15.67,3.62,4.04,7.31,0.28,0.0,103.79,16.513689860843296,20.07743348091465,False
Puffed wheat (Murmure/Moori),113.32,15.67,3.62,4.04,7.31,0.28,0.0,103.79,16.513689860843296,20.07743348091465,False
Boiled egg (Ubla anda),45.35,0.12,4.43,3.04,0.0,0.11,121.19,17.75,15.276476079331289,18.905623146839766,False
Fried Egg ,223.67,0.31,11.59,19.62,0.0,0.29,316.88,46.4,24.798671848089313,37.841323760446244,False
Poached egg,123.87,0.37,11.98,8.19,0.05,0.3,326.79,48.24,25.637034890692476,32.18023040552146,False
Scrambled egg (Ande ki bhurji),155.97,1.35,10.29,12.21,1.08,0.24,273.6,64.59,23.740340748816926,32.604360753338476,False
Baked egg ,218.85,15.42,11.88,12.65,1.66,1.03,204.36,164.05,30.12508247180479,29.335324374828676,False
Plain omelette/omlet,272.41,0.64,9.66,25.74,0.51,0.12,255.94,48.4,22.011794453770047,38.55710635930048,False
Stuffed egg omelette/omlet,203.51,2.3,8.6,17.77,1.57,0.75,154.38,89.91,23.259728845796555,29.0071827529704,False
Pancake,203.36,20.49,5.68,10.82,3.32,0.65,35.93,79.49,19.249250764120777,22.037245126137663,False
Keema pancake,176.27,9.56,9.01,11.25,2.2,0.84,46.43,40.96,22.914122218169933,19.785423691406578,False
Vegetable pancake,125.18,12.24,3.87,6.57,2.09,2.48,19.32,42.89,19.155731840858234,16.47288445274149,False
Jam and fruit pancake,162.02,20.73,3.79,7.01,7.85,1.21,23.09,54.06,16.614266541673764,23.5800366517618,False
Khoa and coconut pancake,271.98,27.32,6.98,15.29,16.47,1.65,21.35,157.22,23.394767714023477,35.089653846771704,False
Brown stock,21.32,0.25,1.95,1.38,0.14,0.09,0.0,17.16,12.356397838697243,11.369272075784625,False
Vegetable stock,17.6,0.96,0.3,1.38,0.44,0.38,3.46,5.08,10.278862228885478,12.288344091503113,False
Chicken stock,29.88,0.37,3.69,1.51,0.2,0.1,10.23,3.57,14.21766994446885,11.59549280759208,False
Clear tomato soup (Tamatar ka soup),80.07,3.45,4.79,12.22,1.44,1.96,0.0,29.05,19.146395808918967,15.500808162150896,False
Lentil soup,31.17,3.94,9.65,11.68,1.06,2.57,2.19,40.57,26.95553377688695,11.752580371712398,False
Chicken consomme (Clear chicken soup),47.94,1.19,11.47,12.02,0.54,1.57,17.0,35.48,27.532906089431464,12.474568542558945,False
Cream of tomato soup,97.81,3.93,4.61,13.12,1.81,1.38,5.47,39.61,18.170882794405276,17.250121150510918,False
Cream of green peas soup,127.84,6.75,7.13,14.78,1.61,2.95,6.19,51.01,24.382691336065456,16.551762654248332,False
Cream of spinach soup,100.54,3.45,5.21,13.31,1.13,1.74,5.47,70.77,20.530427766436727,16.337509547756127,False
Cream of mixed vegetable soup,59.65,4.93,6.84,9.05,2.1,2.14,7.05,65.26,23.17744604111242,14.078856917505613,False
Cream of mushroom soup,117.28,3.74,6.64,15.5,1.93,1.34,6.74,70.56,21.59676287996224,17.898069619823772,False
Chicken sweet corn soup,28.32,1.63,14.48,12.59,0.27,0.47,6.37,91.5,31.356882994767894,10.672237361986241,False
Minestrone soup,42.66,3.71,9.3,11.09,1.01,1.92,3.7,53.55,25.80032478525963,12.32620914183196,False
Egg drop soup,26.64,1.1,12.93,13.52,0.6,0.81,31.67,100.14,30.011102967386016,13.280326985308374,False
Chinese cabbage and meat ball soup,484.31,1.43,5.21,56.57,0.37,0.57,5.83,41.07,16.701849881902085,39.725217388322115,False
French onion soup,55.61,4.28,11.41,14.39,1.5,1.01,10.59,106.22,28.452598256257517,14.237979264874392,False
Hot and sour soup,31.51,1.78,3.12,1.31,0.66,0.6,17.91,10.68,14.43692653984516,12.434648853710524,False
Talaumein soup,35.63,4.17,10.12,12.78,0.77,1.94,12.4,42.33,26.55597344217933,12.734850959628698,False
Cold cucumber soup (Thanda kheere ka soup),48.03,4.58,2.99,1.99,3.34,0.88,7.06,99.79,17.05004539238758,14.700736029228906,False
Cold summer garden soup,49.19,2.65,8.57,14.08,0.46,1.86,10.12,43.93,24.439050394272762,13.724410122167686,False
Chapati/Roti,202.31,35.65,5.88,3.56,1.0,6.31,6.83,17.22,27.555378991929274,12.657752982880924,False
Plain parantha/paratha,298.3,30.69,5.06,16.86,0.86,5.43,0.0,14.81,24.6600069537225,19.598903527879447,False
Potato parantha/paratha (Aloo ka parantha/paratha),205.04,23.92,3.7,10.22,1.15,4.18,0.0,17.38,21.03813606700647,16.66819952795521,False
Radish parantha/paratha (Mooli ka parantha/paratha),183.52,20.54,3.3,9.53,1.31,4.32,0.0,23.75,20.941947426678045,16.18301173100512,False
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,18.84,3.73,9.47,1.15,4.68,0.0,22.0,22.074680784618106,15.54041081694204,False
Dal parantha/paratha,268.24,30.03,6.78,13.05,1.43,6.46,0.0,23.89,28.925903768142913,16.921606229848898,False
Sprouted moong parantha/paratha,228.59,24.31,4.29,12.43,1.47,4.49,0.0,20.33,22.32013642930666,17.851618547310498,False
Pea parantha/paratha (Matar ka parantha/paratha),190.73,21.51,5.59,8.8,1.29,5.61,0.0,23.49,26.092615937875152,14.50439764041759,False
Keema parantha/paratha,238.09,18.36,9.41,13.91,0.99,3.44,25.66,19.35,27.21592754644547,18.21669521672628,False
Paneer parantha/paratha,262.97,24.33,7.98,14.62,3.77,4.0,0.0,127.65,29.171281657556847,20.227100611036825,False
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.49,21.39,5.54,12.09,1.31,4.39,0.0,33.07,24.19930837404528,16.86776609337869,False
Poori,737.63,8.22,1.35,77.61,0.23,1.46,1.58,3.98,11.47161033475456,53.337172364106294,False
Spinach poori (Palak poori),684.25,7.76,1.42,71.86,0.24,1.55,1.46,10.02,12.03627372719122,50.09349069547501,False
Methi poori,710.02,7.98,1.45,74.6,0.26,1.61,1.51,14.61,12.23581774968508,51.591135694668175,False
Dal stuffed poori,785.16,10.14,2.08,81.69,0.29,1.96,1.66,6.88,13.225627938014082,55.31761567186974,False
Potato stuffed poori (Aloo ki poori),776.74,9.4,1.52,81.35,0.26,1.64,1.65,5.57,11.936898947939007,55.370808190587205,False
Tandoori parantha/paratha,295.37,30.74,5.08,16.51,0.86,5.44,39.77,14.98,24.600555363953212,21.880484142697377,False
Boiled rice (Uble chawal),117.19,25.72,2.6,0.18,0.22,1.25,0.0,2.7,14.660076617044677,12.332620617140677,False
Plain pulao,140.21,21.82,2.34,4.62,1.15,1.69,0.0,12.76,15.141157161933275,15.097513121040365,False
Mixed vegetable pulao,113.05,17.49,2.72,3.33,1.35,2.67,0.0,19.61,17.48775501990751,13.57787067662109,False
Mushroom pulao,124.29,19.02,2.52,4.03,1.0,1.88,0.0,13.54,15.75380760844509,14.233468964523714,False
Sprouted moong pulao,112.97,17.49,2.19,3.61,1.43,1.78,0.0,16.26,15.20423430115906,14.407925950923637,False
Paneer pulao,581.91,8.76,1.98,59.81,1.11,0.62,0.0,33.09,12.117658725897673,44.60422011911791,False
Peanut pulao ,193.28,21.18,5.32,9.51,1.6,2.9,0.0,18.52,21.050623355369993,16.566822426684553,False
Navratan pulao,261.71,36.98,6.2,9.45,2.52,3.82,0.0,59.61,24.78524612485368,18.096329593892527,False
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.43,27.57,4.88,4.82,2.48,3.15,0.0,18.94,20.910562765041224,15.35863403888148,False
Mutton biryani/biriyani,190.76,22.5,7.38,7.72,2.39,2.42,0.4,68.58,24.37035098980187,16.053445537655644,False
Vegetable biryani/biriyani,174.61,18.56,3.16,9.51,2.14,3.31,0.27,33.52,19.285650780125433,17.31275259899337,False
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.3,21.62,4.26,7.88,0.78,2.52,0.0,12.7,18.98880439900322,15.500804484206093,False
Sweet rice (Meethe chawal),215.41,42.59,2.1,4.57,24.8,1.13,9.55,11.38,11.271001487112116,39.17267818686485,False
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,32.93,5.75,4.32,3.91,2.13,3.12,101.52,22.601354002486385,17.345463288901577,False
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.04,65.08,7.45,8.53,11.65,5.12,7.7,50.94,27.280048324613745,27.87176786612182,False
Spanish rice,164.24,31.1,4.19,2.23,1.26,2.78,0.0,18.93,19.576043016154355,13.621918105855675,False
Chinese fried rice,120.58,13.4,4.05,5.43,1.47,2.31,52.09,34.7,18.866853186446093,17.474366391666365,False
Macroni cheese pie,170.63,21.1,5.85,7.48,3.4,0.4,15.99,122.01,20.433909391412005,19.04348804612073,False
Vegetable chowmein,129.71,15.44,3.07,6.36,1.97,1.86,0.0,28.33,16.72249218832573,15.823449473992351,False
Chicken chowmein,151.33,13.3,6.33,8.23,1.63,1.64,10.73,26.1,20.52804526458236,16.115633063508223,False
Cheese noodle ring,133.67,13.96,6.22,6.12,2.84,1.27,55.67,99.3,21.696570315721285,19.125952189679474,False
Spaghetti and cheese balls in tomato sauce,508.32,7.82,2.41,52.08,1.83,0.59,3.83,40.59,12.964228775660354,41.033474556938714,False
Penne platter,177.4,20.87,5.04,8.71,4.5,1.09,2.29,67.67,18.825855462936406,19.7353172333688,False
Pasta hot pot,125.17,11.6,5.84,6.47,5.99,0.8,27.19,55.28,18.883796252765222,20.523702989323112,False
Chicken lasagne,187.49,13.9,10.45,10.36,2.74,0.11,50.38,119.98,25.83795342549884,20.259427116830096,False
Fettuccine with spinach sauce,129.21,12.19,3.1,7.83,1.18,0.77,10.29,53.67,15.718350620086294,16.78279024005768,False
Naan,286.45,51.75,8.05,4.99,5.59,1.91,10.15,88.01,24.58880858600526,20.760353825938488,False
Bhatura,793.2,10.73,1.63,82.56,0.69,0.38,0.38,12.12,10.105967190907261,57.059835656875805,False
Idli,137.54,28.18,4.64,0.33,0.28,2.31,0.0,8.0,19.228332999070876,11.54013815408376,False
Masala dosa,164.58,19.57,3.29,7.84,1.33,2.52,0.0,15.58,17.74936569272823,16.111512879484124,False
Semolina dosa (Suji/Rava dosa),227.05,32.84,7.3,7.12,4.37,4.04,4.59,116.04,28.09888050961643,17.92885832162375,False
Onion tomato uttapam,462.02,11.32,1.91,45.3,0.8,1.26,0.0,5.82,12.688883797438187,36.35617075915979,False
Paneer kaathi roll,285.94,20.1,6.92,19.55,3.29,2.4,30.84,101.66,24.218082835893483,25.158891074101767,False
Makki ki roti,263.97,24.19,3.49,16.85,0.7,5.19,39.07,14.76,22.125593579667882,21.8683573302742,False
Washed moong dal (Dhuli moong ki dal),50.0,5.91,2.68,1.68,0.12,1.17,0.0,8.48,14.82960897203878,11.257937238995538,False
Washed urad dal (Dhuli urad ki dal),61.32,5.84,2.51,2.98,0.32,1.53,0.0,10.24,15.200451782283777,12.025309496551746,False
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25,7.1,2.79,3.6,1.05,2.72,0.0,14.33,17.563204378949937,12.452394890893455,False
Dry washed urad,124.71,15.66,6.85,3.5,0.73,4.06,0.0,27.08,25.489369976071774,10.975821452480844,False
Mixed dal,61.93,5.79,2.51,3.1,0.34,1.62,0.0,11.0,15.366992393046242,12.052739885973086,False
Whole moong (Moong ki dal),53.7,5.22,2.25,2.56,0.59,2.02,0.0,13.58,15.753699956155689,11.810962178274103,False
Whole masoor (Masoor ki dal),54.05,5.37,2.28,2.52,0.67,1.98,0.0,12.2,15.678603785426164,11.885795511476676,False
Whole moth (Moth ki dal),55.0,5.74,2.01,2.62,0.66,1.85,0.0,18.98,15.304412867810397,12.106492272455391,False
Whole urad (Urad ki dal),53.8,5.05,2.21,2.62,0.57,2.32,0.0,13.07,16.184709738856657,11.679809979226015,False
Moti mahal dal (Urad rajmah mix dal),103.13,8.74,3.93,5.66,1.7,3.38,1.92,38.13,20.713461133304147,13.747298343278002,False
Black channa curry/Bengal gram curry (Kale chane ki curry),140.68,14.11,5.67,6.61,2.36,7.99,0.0,53.87,30.99371287576733,12.361937331404583,False
Chickpeas curry (Safed channa curry),163.43,19.98,6.1,6.84,4.78,4.73,0.0,30.61,25.19756332986069,16.622456605242483,False
Lobia curry,148.99,17.88,6.06,5.62,2.51,4.57,0.0,36.8,25.33425348863004,13.919831004227296,False
Soyabean curry,163.28,6.76,10.43,10.19,2.66,7.34,0.0,65.13,36.37924690651742,12.789976870814474,False
Kidney bean curry (Rajmah curry),143.73,16.38,5.95,5.77,2.49,5.83,0.0,47.87,27.604813830812795,13.241270657487478,False
Sambar,96.92,10.57,3.35,4.38,3.31,3.52,0.0,30.24,19.817919117750478,14.669356630994457,False
Besan kadhi with pakodies,403.35,3.56,1.64,42.59,0.88,0.81,0.94,24.53,12.215234863029682,34.576792655773616,False
Khatta channa,202.57,21.14,6.3,10.56,4.75,5.26,0.0,40.77,26.539336696510475,18.401901979157515,False
Sprouted moong dal chat,32.47,6.01,1.35,0.32,1.57,1.35,0.0,16.54,13.500901303789679,12.153870929282181,False
Potato cauliflower (Aloo gobhi),106.18,5.99,1.9,8.13,0.44,3.02,0.0,22.87,17.094895079602175,14.398657621335548,False
Potato capsicum (Shimla mirch aloo),125.53,8.72,1.41,9.33,0.54,2.02,0.0,16.45,14.558585486057146,16.03825896269415,False
Cabbage and peas (Pattagobhi aur matar),63.88,6.24,3.24,2.64,0.97,3.99,0.0,45.5,21.20219582203176,11.016536456125486,False
Carrot and fenugreek leaves (Gajar methi),61.92,4.17,2.1,3.81,2.11,4.43,0.0,128.83,22.720695428072357,12.641595746029449,False
Potato fenugreek (Aloo methi),135.15,8.47,2.25,10.04,0.54,2.93,0.0,107.8,19.81241969750999,15.700145558351323,False
Brinjal bhartha (Baingan ka bhartha),65.12,4.4,1.38,4.48,1.82,3.27,0.0,17.85,16.63304986902306,13.556787285318972,False
Dry potato (Sookhe aloo),103.15,14.38,1.62,4.18,0.33,1.88,0.0,17.2,14.761267170799002,13.564523607303029,False
Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63,4.39,2.62,11.39,2.06,5.59,0.0,51.92,22.896767518037258,15.966572118009475,False
Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11,3.99,2.64,11.56,1.71,5.27,0.0,35.37,21.943588132385216,15.87258186431375,False
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,4.99,1.82,8.62,2.36,4.52,0.0,48.63,20.01477802177115,15.588785173139883,False
Raw turnip with coconut ,132.15,5.78,1.8,11.47,4.4,2.79,0.0,50.65,16.889357905075755,19.872743901067338,False
Raw papaya with coconut (Papaya thoran),132.75,5.58,1.54,11.42,3.82,4.31,0.0,33.74,18.637882459089465,18.678069414729116,False
Stuffed okra (Bharwa bhindi),94.34,3.85,2.08,7.66,0.48,4.15,0.0,86.89,21.083858798827432,13.363513355180656,False
Stuffed round gourd (Bharwa tinde),72.8,4.02,1.1,5.75,1.96,2.1,0.0,20.21,14.349054723413323,14.996703537104446,False
Stuffed capsicum (Bharwa shimla mirch),90.94,8.26,1.34,5.7,1.21,2.01,0.0,15.17,14.435924040215612,14.656254426384285,False
Stuffed brinjal (Bharwa baingan),93.0,3.96,1.53,7.73,0.92,4.09,0.0,24.37,18.39316041068945,14.007134730954549,False
Stuffed tomatoes (Bharwa tamatar),93.35,6.19,3.28,6.06,2.68,2.2,0.0,59.16,18.416492976122292,15.291650962744304,False
Pea potato curry (Aloo matar),100.92,9.74,3.48,5.13,1.86,3.61,0.0,21.1,20.00801333033109,13.604995031620732,False
Pea paneer curry (Matar paneer),134.83,9.29,6.61,7.75,3.89,3.3,0.0,105.2,25.76619289048537,16.00634265068105,False
Pea mushroom curry (Matar mushroom),93.3,7.41,3.87,5.16,1.82,3.86,0.0,22.7,20.990467637428726,13.125083987273268,False
Pea curry (Matar ki sabzi),102.99,9.2,4.51,5.11,1.98,4.44,0.0,24.48,22.822026587329145,12.91992518957325,False
Pea vadi curry,101.95,8.9,4.64,5.08,1.92,4.28,0.0,23.62,22.71003846658911,12.860809648533532,False
Paneer curry,176.52,8.4,7.8,12.38,6.29,1.4,0.0,189.06,26.249070410577087,21.19072958359589,False
Lotus stem curry (Kamal kakdi curry),110.34,9.24,1.53,7.25,2.09,3.14,0.0,26.59,16.755501566065828,15.77260160037714,False
Gravy for kofta,125.59,6.31,1.75,10.35,3.73,1.96,1.18,39.65,15.220443109699314,19.24791432495798,False
Pea kofta curry (Matar kofta curry),595.66,4.17,2.01,63.39,0.88,1.7,0.21,13.84,13.33233509410736,45.38750660445632,False
Spinach kofta curry (Palak kofta curry),571.78,3.56,1.09,61.49,0.82,0.92,0.2,29.31,11.34092437062452,44.90842057312399,False
Paneer kofta curry,670.91,3.27,2.39,72.06,1.98,0.4,0.24,59.49,12.669299172666065,51.55672402205542,False
Lotus stem kofta curry (Kamal kakdi kofta curry),633.56,5.01,0.96,67.76,0.88,1.01,0.23,19.31,10.857517043246768,48.50980927096341,False
Raw banana kofta curry (Kela kofta curry),627.27,3.4,0.62,67.98,2.3,0.59,0.23,9.23,9.270371730286927,50.07994023756457,False
Cauliflower kofta curry (Phoolgobhi kofta curry),641.1,2.62,1.04,69.62,0.83,1.0,0.23,12.26,10.704753492433358,49.24519206483007,False
Cabbage kofta curry (Pattagobhi kofta curry),639.81,2.87,0.98,69.4,0.89,0.9,0.23,15.46,10.552136678459656,49.26979150203322,False
Ghiya/Lauki Kofta Curry,638.71,2.71,0.89,69.4,0.82,0.83,0.23,11.64,10.214718272369375,49.25322537391421,False
Spinach paneer kofta curry (Palak paneer kofta curry),606.03,2.94,1.43,65.41,1.16,0.75,0.22,37.71,11.614722147329879,47.28164513541519,False
Vegetarian egg kofta curry,627.41,4.26,1.33,67.24,1.19,0.64,0.22,28.39,10.97597003882569,48.51255545564755,False
Baked vegetables,88.99,8.44,3.67,4.44,2.56,2.34,8.27,80.2,19.796849686106928,14.817463354197706,False
Cauliflower musallam (Phoolgobhi musallam),58.83,4.48,1.89,3.55,1.71,3.06,0.0,24.61,17.185608227151125,12.898524238468598,False
Baked vegetables with spinach ,77.79,6.93,3.22,4.03,2.09,2.33,6.55,78.63,19.21403932030936,14.077811115785806,False
Baked potato with skin ,135.77,11.11,3.43,8.5,1.66,1.2,21.72,90.06,17.823522572235934,17.957746088696464,False
Shepherd's pie (vegetarian),135.63,12.03,5.04,7.3,2.78,2.23,10.62,85.59,21.45296833632365,16.69789056607241,False
Baked brinjal in tomato sauce,38.63,4.13,1.58,1.62,2.2,2.34,0.0,26.24,15.6313033807863,12.715665508947122,False
Dum aloo,682.33,3.33,0.7,74.01,0.71,0.68,0.49,16.49,9.749251982913178,51.88319864760321,False
Spinach paneer (Palak paneer),77.68,4.43,4.03,4.76,2.55,1.91,0.0,113.25,20.546561201604373,14.222054249846666,False
Methi chaman,475.62,2.78,1.54,50.91,1.79,0.53,0.0,60.57,12.365072004789944,40.00233072058624,False
Sarson ka saag,87.84,5.33,3.0,5.86,0.75,3.69,13.24,134.41,22.886036125658652,13.534165710701398,False
Jackfruit sabzi (Kathal ki sabzi),625.4,3.4,0.69,67.6,2.59,1.02,0.0,9.85,10.072052560902419,49.91014193061515,False
